Feature, Rank, Median, Max, Min, Category
V_ROI_EV1_stats_area,87,-0.002,0.266,-0.035, Size
V_ROI_EV2_ShapeFit_area_RectFit,88,-0.002,0.037,-0.264, Shape
V_ROI_EV2_stats_ConvexArea,89,-0.002,0.035,-0.248, Shape
V_EV1_ShapeFit_area_TriFit,90,-0.001,0.081,-0.238, Shape
V_ROI_EV1_stats_ConvexArea,91,-0.002,0.235,-0.032, Shape
V_ROI_EV1_stats_Extent,92,0,0.228,-0.048, Shape
V_Orientation_Theta,93,0.002,0.191,-0.228, Orientation
V_ROI_EV1_ShapeFit_area_RectFit,94,-0.002,0.225,-0.029, Shape
V_ROI_EV1_stats_MinorAxisLength,95,-0.001,0.221,-0.028, Size
V_EV1_ShapeFit_area_SemiSphereFit_Frac,96,0,0.205,-0.129, Shape
V_ROI_EV3_stats_BoundingBox_2,97,-0.002,0.059,-0.202, Size
V_ROI_EV2_stats_Extent,98,0,0.025,-0.202, Shape
V_ROI_EV3_stats_BoundingBox_1,99,-0.001,0.199,-0.055, Size
V_EV3_stats_EquivDiameter,100,-0.009,0.16,-0.198, Size
V_EV3_stats_Eccentricity,101,0,0.181,-0.196, Shape
V_ROI_EV2_stats_BoundingBox_1,102,-0.001,0.188,-0.054, Size
V_EV1_stats_EquivDiameter,103,-0.013,0.154,-0.187, Size
V_EV1_ShapeFit_area_SphereFit_Frac,104,0.001,0.121,-0.187, Shape
V_EV3_stats_BoundingBox_2,105,-0.002,0.184,-0.064, Size
V_ROI_radius_spherefit_um,106,0.007,0.081,-0.183, Size
V_ROI_EV1_Zernike_A,107,-0.002,0.097,-0.181, Shape
V_EV1_stats_MinorAxisLength,108,0.003,0.07,-0.178, Size
V_EV1_ShapeFit_area_polyarea,109,-0.001,0.067,-0.172, Shape
V_ROI_EV1_stats_BoundingBox_1,110,-0.001,0.165,-0.036, Size
V_ROI_EV2_stats_EquivDiameter,111,-0.001,0.021,-0.165, Size
V_ROI_EV1_ShapeFit_area_SemiSphereFit_Frac,112,0,0.026,-0.165, Shape
V_ROI_chi2_elpsfit_um,113,-0.004,0.165,-0.085, Shape
V_EV1_ShapeFit_area_RectFit,114,0,0.091,-0.161, Shape
V_ROI_EV3_stats_Eccentricity,115,-0.001,0.154,-0.036, Shape
V_EV2_stats_BoundingBox_1,116,0.001,0.057,-0.151, Size
V_EV1_stats_BoundingBox_2,117,0.001,0.149,-0.111, Size
V_EV3_ShapeFit_area_SemiSphereFit,118,-0.002,0.146,-0.147, Shape
V_ROI_EV1_stats_Eccentricity,119,0,0.037,-0.142, Shape
V_ROI_Orientation_Psi,120,0,0.029,-0.138, Orientation
V_EV1_ShapeFit_area_SphereFit,121,-0.001,0.1,-0.136, Shape
V_EV3_stats_MinorAxisLength,122,0.001,0.054,-0.128, Size
V_EV1_stats_MajorAxisLength,123,0.002,0.051,-0.127, Size
V_ROI_EV1_stats_EquivDiameter,124,-0.001,0.126,-0.017, Size
V_EV1_ShapeFit_area_RectFit_Frac,125,0.001,0.1,-0.126, Shape
V_ROI_Sphericity,126,0.002,0.056,-0.118, Shape
V_ROI_EV3_ShapeFit_area_SemiSphereFit_Frac,127,-0.001,0.11,-0.025, Shape
V_EV3_stats_BoundingBox_1,128,-0.001,0.055,-0.106, Size
V_EV2_stats_BoundingBox_2,129,0,0.048,-0.103, Size
V_EV3_stats_ConvexArea,130,-0.002,0.06,-0.102, Shape
V_ROI_EV3_stats_Extent,131,0,0.034,-0.101, Shape
V_ROI_EV3_stats_Perimeter,132,-0.002,0.101,-0.033, Surface
V_EV1_ShapeFit_area_TriFit_Frac,133,0,0.098,-0.094, Shape
V_ROI_EV1_stats_Perimeter,134,-0.002,0.097,-0.038, Surface
V_EV3_ShapeFit_area_TriFit,135,-0.002,0.096,-0.078, Shape
V_radii_elpsfit_2_um,136,-0.001,0.057,-0.096, Size
V_ROI_EV3_ShapeFit_area_TriFit_Frac,137,0,0.095,-0.02, Shape
V_EquivDiameter,138,-0.008,0.091,-0.094, Size
V_ROI_EV1_stats_BoundingBox_2,139,0.001,0.046,-0.093, Size
V_ROI_EV3_ShapeFit_area_RectFit_Frac,140,0,0.088,-0.017, Shape
V_EV3_ShapeFit_area_RectFit,141,-0.001,0.085,-0.06, Shape
V_ROI_eqFeret_norm,142,0,0.067,-0.084, Shape
V_EV2_stats_MajorAxisLength,143,0.004,0.032,-0.082, Size
V_ROI_EV2_ShapeFit_area_TriFit_Frac,144,0,0.075,-0.012, Shape
V_ROI_Surface_um,145,-0.002,0.075,-0.032, Surface
V_ROI_EV2_stats_Solidity,146,0,0.014,-0.074, Surface
V_ROI_Orientation_Theta,147,0.002,0.022,-0.074, Orientation
V_ROI_EV3_ShapeFit_area_SemiSphereFit,148,-0.001,0.027,-0.073, Shape
V_EV1_stats_BoundingBox_1,149,-0.002,0.06,-0.069, Size
V_radii_elpsfit_1_um,150,-0.001,0.063,-0.061, Size
V_ROI_Orientation_Phi,151,0,0.054,-0.062, Orientation
V_ROI_EV2_stats_BoundingBox_2,152,-0.001,0.059,-0.06, Size
V_ROI_EV3_ShapeFit_area_TriFit,153,-0.001,0.024,-0.06, Shape
V_ROI_EV2_ShapeFit_area_RectFit_Frac,154,0,0.016,-0.06, Shape
V_ROI_EV2_stats_Centroid_2,155,-0.001,0.057,-0.026, Shape
V_ROI_EV1_ShapeFit_area_TriFit_Frac,156,0,0.014,-0.056, Shape
V_ROI_CH_eqFeret_norm,157,0,0.041,-0.055, Shape
V_ROI_EV3_ShapeFit_area_RectFit,158,-0.002,0.025,-0.054, Shape
V_ROI_EV3_ShapeFit_area_SphereFit_Frac,159,0,0.053,-0.017, Shape
V_ROI_EV1_stats_Centroid_1,160,-0.001,0.05,-0.022, Shape
V_EV3_stats_MajorAxisLength,161,0.002,0.047,-0.044, Size
V_ROI_EV2_stats_MajorAxisLength,162,-0.001,0.046,-0.006, Size
V_ROI_EV2_stats_Perimeter,163,-0.001,0.035,-0.045, Surface
V_EV1_stats_Centroid_2,164,0,0.044,-0.04, Shape
V_EV2_stats_Centroid_2,165,-0.001,0.032,-0.044, Shape
V_EV1_stats_Centroid_1,166,0,0.029,-0.042, Shape
V_EV2_ShapeFit_area_SphereFit,167,-0.001,0.041,-0.015, Shape
V_ROI_EV3_stats_MajorAxisLength,168,-0.001,0.037,-0.007, Size
V_ROI_EV1_ShapeFit_area_RectFit_Frac,169,0,0.037,-0.018, Shape
V_ROI_Volume_um,170,-0.003,0.033,-0.014, Size
V_ROI_CH_Volume_um,171,-0.003,0.033,-0.024, Size
V_ROI_EV3_stats_area,172,-0.001,0.031,-0.021, Size
V_ROI_AspectRatio,173,0,0.031,-0.014, Shape
V_ROI_EV3_stats_Centroid_2,174,-0.001,0.03,-0.021, Shape
V_EV3_ShapeFit_area_SphereFit,175,-0.001,0.03,-0.013, Shape
V_ROI_EV3_ShapeFit_area_polyarea,176,-0.001,0.03,-0.016, Shape
V_ROI_EV3_stats_Centroid_1,177,-0.001,0.03,-0.022, Shape
V_ROI_EV2_stats_Centroid_1,178,-0.001,0.03,-0.019, Shape
V_ROI_EV1_stats_Centroid_2,179,-0.001,0.03,-0.02, Shape
V_EV3_stats_Centroid_1,180,-0.001,0.03,-0.021, Shape
V_max_FeretDiameter,181,-0.001,0.029,-0.022, Size
V_EV3_stats_Centroid_2,182,-0.001,0.027,-0.024, Shape
V_ROI_Solidity,183,0,0.024,-0.026, Surface
V_ROI_EV3_stats_ConvexArea,184,-0.001,0.026,-0.017, Shape
V_ROI_EV1_stats_Solidity,185,0,0.026,-0.017, Surface
V_ROI_EV1_ShapeFit_area_SphereFit,186,-0.002,0.025,-0.01, Shape
V_EV2_stats_Centroid_1,187,0,0.025,-0.022, Shape
V_ROI_EV3_ShapeFit_area_SphereFit,188,-0.001,0.017,-0.022, Shape
V_ROI_radii_elpsfit_3_um,189,-0.001,0.017,-0.021, Size
V_ROI_EV3_stats_Solidity,190,0,0.012,-0.021, Surface
V_ROI_Extent,191,0,0.015,-0.021, Shape
V_ROI_EV3_stats_MinorAxisLength,192,-0.001,0.018,-0.019, Size
V_ROI_EV2_ShapeFit_area_SphereFit,193,-0.002,0.016,-0.006, Shape
V_ROI_EV3_stats_EquivDiameter,194,-0.001,0.015,-0.011, Size
V_ROI_EV1_stats_MajorAxisLength,195,-0.001,0.015,-0.005, Size
V_BoundingBox_MinLength,196,0,0.014,-0.01, Size
V_ROI_BoundingBox_MinLength,197,0,0.014,-0.01, Size
V_ROI_radii_elpsfit_2_um,198,-0.001,0.01,-0.012, Size
V_ROI_EquivDiameter,199,-0.001,0.011,-0.005, Size
V_BoundingBox_MaxLength,200,-0.001,0.01,-0.006, Size
V_ROI_BoundingBox_MaxLength,201,-0.001,0.01,-0.006, Size
V_ROI_radii_elpsfit_1_um,202,-0.001,0.009,-0.006, Size
size_ImageBox_X,203,0,0,0, Size
size_ImageBox_Y,204,0,0,0, Size
size_ImageBox_Z,205,0,0,0, Size
V_ImageBox,206,0,0,0, Size
