Feature,Feature_Category
V_ROI_EV2_stats_Centroid_2,Shape
V_ROI_EV2_stats_MajorAxisLength,Size
V_ROI_EV2_stats_MinorAxisLength,Size
V_ROI_EV2_stats_Eccentricity,Shape
V_ROI_EV2_stats_Circularity,Shape
V_ROI_EV2_stats_Orientation,Orientation
V_ROI_EV2_stats_ConvexArea,Shape
V_ROI_EV2_stats_EquivDiameter,Size
V_ROI_EV2_stats_Solidity,Surface
V_ROI_EV2_stats_Extent,Shape
V_ROI_EV2_stats_Perimeter,Surface
V_ROI_EV2_stats_BoundingBox_1,Size
V_ROI_EV2_stats_BoundingBox_2,Size
V_ROI_EV2_stats_MaxFeretDiameter,Size
V_ROI_EV2_stats_MaxFeretAngle,Orientation
V_ROI_EV2_stats_MinFeretDiameter,Size
V_ROI_EV2_stats_MinFeretAngle,Orientation
V_ROI_EV2_ShapeFit_area_polyarea,Shape
V_ROI_EV2_ShapeFit_area_SphereFit,Shape
V_ROI_EV2_ShapeFit_area_RectFit,Shape
V_ROI_EV2_ShapeFit_area_TriFit,Shape
V_ROI_EV2_ShapeFit_area_SemiSphereFit,Shape
V_ROI_EV2_ShapeFit_area_SphereFit_Frac,Shape
V_ROI_EV2_ShapeFit_area_RectFit_Frac,Shape
V_ROI_EV2_ShapeFit_area_TriFit_Frac,Shape
V_ROI_EV2_ShapeFit_area_SemiSphereFit_Frac,Shape
V_EV3_stats_area,Size
V_EV3_stats_Centroid_1,Shape
V_EV3_stats_Centroid_2,Shape
V_EV3_stats_MajorAxisLength,Size
V_EV3_stats_MinorAxisLength,Size
V_EV3_stats_Eccentricity,Shape
V_EV3_stats_Circularity,Shape
V_EV3_stats_Orientation,Orientation
V_EV3_stats_ConvexArea,Shape
V_EV3_stats_FilledArea,Poros
V_EV3_stats_EulerNumber,Poros
V_EV3_stats_EquivDiameter,Size
V_EV3_stats_Solidity,Poros
V_EV3_stats_Extent,Shape
V_EV3_stats_Perimeter,Surface
V_EV3_stats_BoundingBox_1,Size
V_EV3_stats_BoundingBox_2,Size
V_EV3_stats_MaxFeretDiameter,Size
V_EV3_stats_MaxFeretAngle,Orientation
V_EV3_stats_MinFeretDiameter,Size
V_EV3_stats_MinFeretAngle,Orientation
V_EV3_ShapeFit_area_polyarea,Shape
V_EV3_ShapeFit_area_SphereFit,Shape
V_EV3_ShapeFit_area_RectFit,Shape
V_EV3_ShapeFit_area_TriFit,Shape
V_EV3_ShapeFit_area_SemiSphereFit,Shape
V_EV3_ShapeFit_area_SphereFit_Frac,Shape
V_EV3_ShapeFit_area_RectFit_Frac,Shape
V_EV3_ShapeFit_area_TriFit_Frac,Shape
V_EV3_ShapeFit_area_SemiSphereFit_Frac,Shape
V_ROI_EV3_Zernike_Z,Shape
V_ROI_EV3_Zernike_A,Size
V_ROI_EV3_Zernike_Phi,Orientation
V_ROI_EV3_localroundness_Roundness,Shape
V_ROI_EV3_localroundness_min20,Shape
V_ROI_EV3_localroundness_max20,Shape
V_ROI_EV3_stats_area,Size
V_ROI_EV3_stats_Centroid_1,Shape
V_ROI_EV3_stats_Centroid_2,Shape
V_ROI_EV3_stats_MajorAxisLength,Size
V_ROI_EV3_stats_MinorAxisLength,Size
V_ROI_EV3_stats_Eccentricity,Shape
V_ROI_EV3_stats_Circularity,Shape
V_ROI_EV3_stats_Orientation,Orientation
V_ROI_EV3_stats_ConvexArea,Shape
V_ROI_EV3_stats_EquivDiameter,Size
V_ROI_EV3_stats_Solidity,Surface
V_ROI_EV3_stats_Extent,Shape
V_ROI_EV3_stats_Perimeter,Surface
V_ROI_EV3_stats_BoundingBox_1,Size
V_ROI_EV3_stats_BoundingBox_2,Size
V_ROI_EV3_stats_MaxFeretDiameter,Size
V_ROI_EV3_stats_MaxFeretAngle,Orientation
V_ROI_EV3_stats_MinFeretDiameter,Size
V_ROI_EV3_stats_MinFeretAngle,Orientation
V_ROI_EV3_ShapeFit_area_polyarea,Shape
V_ROI_EV3_ShapeFit_area_SphereFit,Shape
V_ROI_EV3_ShapeFit_area_RectFit,Shape
V_ROI_EV3_ShapeFit_area_TriFit,Shape
V_ROI_EV3_ShapeFit_area_SemiSphereFit,Shape
V_ROI_EV3_ShapeFit_area_SphereFit_Frac,Shape
V_ROI_EV3_ShapeFit_area_RectFit_Frac,Shape
V_ROI_EV3_ShapeFit_area_TriFit_Frac,Shape
V_ROI_EV3_ShapeFit_area_SemiSphereFit_Frac,Shape
